wave_peak	wave_base	wave_top	note
1665.00168	1664.88178	1665.23168	Ca 2
1665.34167	1665.23168	1665.37164	Fe 1
1665.45260	1665.37164	1665.51160	OH 1
1665.59315	1665.51160	1665.67156	OH 1
1666.20998	1666.10144	1666.36137	OH 1
1666.43198	1666.36137	1666.47134	FeH
1666.54742	1666.47134	1666.70128	Fe 1
1667.28033	1667.03119	1667.37109	FeH
1667.79402	1667.69100	1667.95093	FeH
1668.08010	1667.99092	1668.11089	Si 1
1668.19973	1668.11089	1668.38081	FeH
1670.4246	1670.2846	1670.5846	OH 1
1670.74412	1670.58021	1670.85013	Mn 1
1670.88064	1670.85013	1671.06008	Fe 1
1671.44034	1671.34000	1671.58993	OH 1
1671.68859	1671.58993	1671.72989	OH 1
1671.87648	1671.72989	1671.98982	Al 1
1671.99170	1671.98982	1672.21976	OH 1
1672.26275	1672.21976	1672.35972	Si 1
1672.51709	1672.39971	1672.62965	FeH
1673.53513	1673.43942	1673.59938	FeH
1675.03316	1674.57911	1675.40888	Al 1
1675.90696	1675.77878	1676.05870	FeH
1677.37639	1677.21838	1677.48831	FeH
1684.31870	1684.22645	1684.52637	Fe 1
1686.21789	1686.11593	1686.29588	FeH
1686.62134	1686.48583	1686.83574	Fe 1
1687.19744	1687.09566	1687.30561	OH 1
1687.79481	1687.71549	1687.83546	Fe 1
1687.89421	1687.83546	1687.99542	OH 1
1688.08567	1687.99542	1688.16537	FeH
1688.21312	1688.16537	1688.30533	Ca 1
1688.44118	1688.30533	1688.55526	OH 1
1688.62844	1688.55526	1688.74521	FeH
